ScanId,AppIdentifier,ProductFeature,Scope,Right,ResourceId,RemediationCode
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|0389422a-e43b-4977-a617-d8438d9ae3e2@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|0a993f48-0081-475b-8da0-b45d70fa9323@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|0a993f48-0081-475b-8da0-b45d70fa9323@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Manage,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|18efa6c7-caa4-4a42-aa76-bba0cc39702f@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|22b14b39-efbe-4f6f-8f1b-2ef4df950b83@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|24dfb743-e4ca-4a5c-921f-36696ce1c99f@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|275e6faa-6fe6-4a79-b92a-c6e29563a2f0@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|275e6faa-6fe6-4a79-b92a-c6e29563a2f0@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|2aa430bf-5b03-4ed2-82b9-c59381ea5b58@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|2aa430bf-5b03-4ed2-82b9-c59381ea5b58@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|3e4986ad-7ba3-4716-874a-38b78d59125a@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|3f523da8-1ef6-4367-9c77-3f63a4e4b18e@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|3fdcb26f-db61-4a3b-a63b-fc55f8c2f64d@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|4139abc0-3a9b-4f4f-b7bb-26c9f5779295@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|49c98265-8726-4dbd-ab13-0982d0791326@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|4f9bcd2a-074e-452d-93f0-cd2b5423cab0@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|5cf14724-ca05-4e63-9c29-8044b847a3c7@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|646246d5-e0cd-4ab6-9fe6-fbea499d217f@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|650beee3-92cb-4698-98cd-0ed4e69334b9@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
