Template,LastItemUserModifiedDate,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,IsModernSite,IsClassicPublishingSite,IsModernCommunicationSite,HasClassicWorkflow,ClassicWorkflows,HasClassicInfoPathForms,ClassicInfoPathForms,HasClassicExtensibility,ClassicExtensibilities,HasSharePointAddIns,SharePointAddIns,HasAzureACSPrincipal,AzureACSPrincipals,RemediationCode,AggregatedRemediationCodes,ScanId,SiteUrl,WebUrl
SITEPAGEPUBLISHING#0,03/11/2022 11:24:00,1,5,0,0,0,0,0,0,9,False,False,True,False,0,False,0,False,0,False,0,False,0,,CL4,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/,/
SRCHCEN#0,01/29/2018 19:52:29,7,5,8,0,0,0,0,8,0,False,False,False,False,0,False,0,False,0,False,0,False,0,,"CL3,CL5,CL4,CP4",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/search,/
STS#0,11/08/2021 11:22:14,5,7,8,8,0,0,0,0,2,False,False,False,False,0,False,0,True,1,False,0,False,0,,"CE9,CL4,CP2",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/
BLOG#0,11/07/2021 21:27:06,3,2,1,0,0,1,0,0,0,False,False,False,False,0,False,0,False,0,False,0,False,0,CS1,"CS1,CL4,CP4",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/blog
STS#0,06/10/2020 19:58:01,0,3,2,2,0,0,0,0,1,False,False,False,False,0,False,0,False,0,False,0,False,0,,CP2,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/sub1
STS#0,06/10/2020 19:58:04,0,3,2,2,0,0,0,0,1,False,False,False,False,0,False,0,False,0,False,0,False,0,,CP2,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/sub1/sub11
STS#0,06/10/2020 19:57:59,0,3,2,2,0,0,0,0,1,False,False,False,False,0,False,0,False,0,False,0,False,0,,CP2,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/sub1/sub12
STS#0,06/10/2020 19:58:03,0,3,2,2,0,0,0,0,1,False,False,False,False,0,False,0,False,0,False,0,False,0,,CP2,f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130021,/sub2
STS#0,04/26/2017 11:06:28,5,7,8,8,0,0,0,0,11,False,False,False,False,0,False,0,True,1,False,0,False,0,,"CE9,CL4,CP2",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130023,/
BLOG#0,09/23/2016 19:58:03,3,1,1,0,0,1,0,0,0,False,False,False,False,0,False,0,False,0,False,0,False,0,CS1,"CS1,CL4,CP4",f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130023,/blog
