ListId,ContentTypeId,FieldId,InternalName,Name,TypeAsString,Required,Hidden,TermSetId,ScanId,SiteUrl,WebUrl
25f5d8f5-99ff-4ac6-adf8-4fcb96ad23ae,0x0101,97dfa283-6ba8-4e68-ab6f-846e53f6d381,_ip_UnifiedCompliancePolicyProperties,Unified Compliance Policy Properties,Note,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/,/
25f5d8f5-99ff-4ac6-adf8-4fcb96ad23ae,0x0101,a925f967-0e5c-443a-ab36-18749634253f,_ip_UnifiedCompliancePolicyUIAction,Unified Compliance Policy UI Action,Text,False,True,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,03ae317c-46b4-4745-a221-f190b8cd6bee,PrimeModelVersion,Model Version,Text,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,5c043a15-e7f0-4a46-8b83-1c5fe8652726,PrimeCorrectedByUser,Corrected,Boolean,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,5ff8201c-b861-451f-90b7-83e1fc483035,PrimeModelURL,Model URL,URL,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,8d0bb50d-9d6a-449b-9473-eaaad2d3e116,_ModelId,_ModelId,Text,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,c7d0f290-0a8b-4d23-abed-1f7217fa1361,PrimeLastClassified,Classification Date,DateTime,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x0101,f443a861-0504-4eef-9f71-ebd20f8f7d13,PrimeConfidenceScore,Confidence Score,Number,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x010100B793E00B702FFA4890872A75E929DD86,056773d9-bbfb-425d-b4f1-bdbd098a8f65,ServiceAddress,ServiceAddress,Text,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
4e21e868-4f54-449e-8736-7260d2c44e89,0x010100B793E00B702FFA4890872A75E929DD86,0af626d6-fd8e-49da-b835-b703ec0f6f07,CustomerName,CustomerName,Text,False,False,00000000-0000-0000-0000-000000000000,6f4e8b2f-c179-4626-ab15-17dbf8cff96d,https://m365x25488756.sharepoint.com/sites/APTest,/
