ScanId,ContentTypeId,Name,Group,Hidden,DocumentTemplate,FieldCount,ListCount,ItemCount,ItemCountMean,ItemCountStandardDeviation,ItemCountMin,ItemCountMax,ItemCountMedian,ItemCountLowerQuartile,ItemCountUpperQuartile,IsSyntexContentType,SyntexModelDriveId,SyntexModelObjectId
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0101,Document,Document Content Types,False,/sites/temp2/s1/wftest/Forms/template.dotx,0,7,7,1,1.9148542155126762,0,5,0,0,1.666666666666666,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0101000452B1090CD00D4CB2733F754532D75B,WFDocument,Custom Content Types,False,template.dotx,1,1,0,0,-1,0,0,0,0,0,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0101000452B1090CD00D4CB2733F754532D75B01,WFDocumentChild,Custom Content Types,False,template.dotx,2,1,0,0,-1,0,0,0,0,0,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0101000452B1090CD00D4CB2733F754532D75B02,WfDocumentChildAtWebLevel,BertOnline Content Types,False,template.dotx,1,1,0,0,-1,0,0,0,0,0,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0101001FEF58651BEAF6448021C8EA7C210A2901,BertLevel2,Custom Content Types,False,template.dotx,3,1,1,1,-1,1,1,1,1,1,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x01010070CD0CBB847F9048B1B290B42162C975,Contract Notice,Intelligent Document Content Types,False,template.dotx,5,1,0,0,-1,0,0,0,0,0,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x010100B703FF916A3EFC459CE64BC4FA561CCA,SyntexDocBert,Custom Content Types,False,template.dotx,1,1,2,2,-1,2,2,2,2,2,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x010100E853EDE6CA932E48B286E032501D3BCD,Demo1,BertOnline Content Types,False,template.dotx,0,1,0,0,-1,0,0,0,0,0,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x01010B,Dublin Core Columns,Document Content Types,False,template.dotx,0,1,1,1,-1,1,1,1,1,1,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0120,Folder,Folder Content Types,False,,0,7,4,0.5714285714285714,1.1338934190276817,0,3,0,0,0.833333333333333,False,,
8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,0x0120D520,Document Set,Document Set Content Types,False,,1,2,2,1,0,1,1,1,1,1,False,,
