ListServerRelativeUrl,Title,ListId,ListTemplate,ListTemplateString,AllowContentTypes,ContentTypeCount,FieldCount,ListExperienceOptions,WorkflowInstanceCount,FlowInstanceCount,RetentionLabelCount,ViewCount,ItemCount,FolderCount,DocumentCount,AverageDocumentsPerFolder,LibrarySize,UsesCustomColumns,Created,LastChanged,LastChangedYear,LastChangedMonth,LastChangedMonthString,LastChangedQuarter,ScanId,SiteUrl,WebUrl
/sites/prov-1/PublishTest,PublishTest,019f6a9c-fccc-418f-bf1b-a66ee813277e,101,DocumentLibrary,False,0,1,Auto,0,0,0,4,1,0,1,1,Small,True,02/10/2022 07:06:26,02/10/2022 07:42:49,2022,2,Feb,Q1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/PNP_SDK_TEST_LargeFolderLibrary,PNP_SDK_TEST_LargeFolderLibrary,295324f6-e75a-40b9-b78a-836908bc23bd,101,DocumentLibrary,False,0,0,Auto,0,0,0,4,11082,11082,0,0,Small,False,03/23/2022 17:49:52,06/30/2023 08:51:22,2023,6,Jun,Q2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Large,Large,37726f50-b250-4f2c-b15b-768ef0421d62,101,DocumentLibrary,False,0,0,Auto,0,0,0,4,100461,20,100441,5022,Large,False,09/14/2021 18:37:43,06/30/2023 09:43:42,2023,6,Jun,Q2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/SyntexTest,SyntexTest,41d6a52a-77de-49ec-bb61-f28a07a6437c,101,DocumentLibrary,True,4,2,Auto,0,0,1,4,5,1,4,4,Small,True,02/17/2022 08:19:05,03/24/2022 09:26:32,2022,3,Mar,Q1,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Forms,Forms,4c42d6aa-fa61-4256-afb7-ee1a10d6b5a8,115,XMLForm,False,0,2,Auto,0,0,0,4,1,0,0,0,Small,True,09/02/2022 11:30:02,09/02/2022 11:38:18,2022,9,Sep,Q3,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Teams Wiki Data,Teams Wiki Data,675ff865-00d3-4214-906b-82cab5cfeabe,101,DocumentLibrary,True,2,0,Auto,0,0,0,4,1,1,0,0,Small,False,06/01/2021 19:02:42,06/01/2021 19:02:43,2021,6,Jun,Q2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Records,Records,912f1253-d4f6-40c6-bc85-bea718e2f212,101,DocumentLibrary,False,0,0,Auto,0,0,0,4,1,0,1,1,Small,False,04/14/2023 11:43:01,04/14/2023 11:43:16,2023,4,Apr,Q2,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Defaults,Defaults,981061e4-2c06-4ccf-9528-6ddc5c8bc721,101,DocumentLibrary,False,0,2,Auto,0,0,0,4,4,2,2,1,Small,True,08/23/2022 16:12:52,08/25/2022 11:44:52,2022,8,Aug,Q3,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/graph,graph,9c973490-7a51-4400-baae-ea38f93df947,101,DocumentLibrary,False,0,5,Auto,0,0,0,4,7,1,6,6,Small,True,10/13/2020 12:11:13,07/10/2023 18:23:25,2023,7,Jul,Q3,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
/sites/prov-1/Large2,Large2,a2c9be0f-af11-45bb-8a8e-60ef5665b70c,101,DocumentLibrary,False,0,0,Auto,0,0,0,4,2499,0,2499,2499,Large,False,09/15/2021 08:43:15,09/15/2021 08:49:35,2021,9,Sep,Q3,8f6e8ec0-d693-41bb-9985-5d2b9f7ab322,https://bertonline.sharepoint.com/sites/prov-1,/
