DefinitionId,SubscriptionId,ListUrl,ListTitle,ListId,ContentTypeId,ContentTypeName,IsOOBWorkflow,Scope,RestrictToType,Enabled,ConsiderUpgradingToFlow,DefinitionName,DefinitionDescription,SubscriptionName,HasSubscriptions,ActionCount,UsedActions,ToFLowMappingPercentage,UnsupportedActionCount,UnsupportedActionsInFlow,UsedTriggers,LastSubscriptionEdit,LastDefinitionEdit,TotalInstances,StartedInstances,NotStartedInstances,CancelledInstances,CancellingInstances,SuspendedInstances,TerminatedInstances,CompletedInstances,ScanId,SiteUrl,WebUrl
6265c7cf-9a93-43a0-a2dc-d244a1cdde3f,a6adf1ae-d61a-4e39-ae3f-732f0ca7d007,/sites/130063/Shared Documents,Documents,c4a94720-3890-4c3b-a3fb-c8825c9500e9,,,False,List,List,True,True,MailSpoofing,,MailSpoofing,True,2,"SetWorkflowStatus,Email",50,1,SetWorkflowStatus,Manual,11/26/2013 22:25:28,11/26/2013 22:24:38,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/130063,/
13e20333-a1ed-4806-b011-a067e627c330,5ca49fd0-577d-41f1-9edc-9835b0c40bd1,/sites/130064/Shared Documents,Documents,85967b53-148a-4f71-8d03-1d51a6a26699,,,False,List,List,True,True,ContentTypeTest,,ContentTypeTest,True,4,"SetWorkflowStatus,WriteToHistory,CreateListItem",75,1,SetWorkflowStatus,Manual,11/15/2013 00:49:58,11/15/2013 00:49:57,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/130064,/
4f1f585f-3ab5-444b-ae1a-b6c96c09ab03,00000000-0000-0000-0000-000000000000,,,00000000-0000-0000-0000-000000000000,,,False,List,List,False,False,demo7 (sp2013 reusable),,,False,2,"SetWorkflowStatus,Comment",50,1,SetWorkflowStatus,,01/01/0001 00:00:00,06/18/2019 15:06:51,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp2,/
81ec786a-ee0b-4e47-b96a-a0f69f6d808c,9697242e-0dda-470f-8062-a8e87822a5f8,,,00000000-0000-0000-0000-000000000000,,,False,Site,Site,True,True,Demo3,Site workflow,Demo3,True,2,"SetWorkflowStatus,Comment",50,1,SetWorkflowStatus,Manual,06/17/2019 09:31:15,06/17/2019 09:31:10,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp2,/
c5cd875f-f985-45a6-b2cc-f2b6bce5a01c,1ee12707-c1a2-44c4-b131-b0aafe474db3,/sites/temp2/Shared Documents,Documents,e926fec2-8e3c-4f47-a74c-3b4b310fc0e3,,,False,List,List,True,True,demo5 (sp2013),,demo5 (sp2013),True,2,"SetWorkflowStatus,WriteToHistory",50,1,SetWorkflowStatus,Manual,06/17/2019 13:34:24,06/17/2019 13:34:22,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp2,/
4b2f2aba-a8a9-42c6-b9c7-5134b78b616d,083ac260-75b8-49c8-ac84-2cc0ee8b1bd5,/sites/temp3/Shared Documents,Documents,b2cbfa8a-53a1-41b9-8005-39695b994654,,,False,List,List,True,True,PnP,,PnP,True,2,"SetWorkflowStatus,WriteToHistory",50,1,SetWorkflowStatus,"OnCreate,Manual",03/15/2022 12:24:58,03/15/2022 12:24:57,2,0,0,0,0,0,0,2,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp3,/
77c0d55b-a759-41d8-a7ec-55332d17b49c,210ed626-b317-486e-8aeb-15ca5a8ff6b3,,,00000000-0000-0000-0000-000000000000,,,False,Site,Site,True,True,SiteWF2013,,SiteWF2013,True,2,"SetWorkflowStatus,Email",50,1,SetWorkflowStatus,Manual,03/15/2022 12:06:58,03/15/2022 12:06:53,0,0,0,0,0,0,0,0,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp3,/
b1d59284-f216-42b9-bdba-a7f98e179982,7f61ed63-bac1-45af-901e-a7500b7f6783,/sites/temp3/Shared Documents,Documents,b2cbfa8a-53a1-41b9-8005-39695b994654,,,False,List,List,True,True,ReusableWF2013,,ReusableWF2013Instance,True,2,"SetWorkflowStatus,WriteToHistory",50,1,SetWorkflowStatus,,03/15/2022 12:28:03,03/15/2022 12:23:54,1,0,0,0,0,0,0,1,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp3,/
b1d59284-f216-42b9-bdba-a7f98e179982,a9849d3e-d978-4394-bfbc-99ece74dca0b,/sites/temp3/WFTestLibrary,WFTestLibrary,598e35a0-13e4-47a8-b4fb-d5580065e79f,,,False,List,List,True,True,ReusableWF2013,,ReusableWF2013Instance,True,2,"SetWorkflowStatus,WriteToHistory",50,1,SetWorkflowStatus,,03/15/2022 12:24:29,03/15/2022 12:23:54,1,0,0,0,0,0,0,1,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp3,/
e660011c-1384-4197-a97b-a9f4bbc7d23d,48b5a356-5a13-4c8b-97c7-57378be1644f,/sites/temp3/Shared Documents,Documents,b2cbfa8a-53a1-41b9-8005-39695b994654,,,False,List,List,True,True,2013WorkflowOnCT,,2013WorkflowOnCT Instance on Documents list via Bert CT,True,2,"SetWorkflowStatus,WriteToHistory",50,1,SetWorkflowStatus,,03/17/2022 20:34:24,03/17/2022 20:11:04,1,0,0,0,0,0,0,1,28d79d2e-6849-4e7c-9f8c-4b84e058ea86,https://bertonline.sharepoint.com/sites/temp3,/
